transaction_id,customer_id,amount,date
bd944f0d-8345-41d4-a946-7544deb6b120,CUST_0106,175.31,2025-08-25 17:52:14.923754
6409db14-e047-43e6-abc6-ca8ea935c394,,30.78,2026-02-09 08:31:14.923754
82362e5d-0f4b-4992-a6f9-16ac5f7a8352,CUST_0039,65.44,2025-11-19 19:02:14.923754
08830edd-09c4-43fa-bd99-1f40578865ee,CUST_0080,23.67,2025-09-13 16:46:14.923754
971fb030-270f-4d21-8eb8-1f5a7280efbd,,499.82,2026-04-10 08:47:14.923754
b0ee3c36-7db7-45b7-b34a-2c206c343197,CUST_0113,-40.61,2025-08-22 05:47:14.923754
583095d4-bec4-41a0-8c4b-0048eb92b3f5,CUST_0061,61.96,2025-09-22 20:16:14.923754
8ddaf732-60b9-4bea-89d3-be88d862c530,CUST_0137,27.44,2026-01-27 22:07:14.923754
d194ecac-d2dc-47b0-8161-7bb5c6b5de70,CUST_0006,351.19,2026-03-04 00:23:14.923754
378f29ff-c658-44a9-bbec-b987dac808f9,CUST_0109,360.18,2026-02-14 22:35:14.923754
a47214f5-618d-40c0-ab3b-cbb9c013dc93,CUST_0035,278.92,2026-03-24 20:07:14.923754
702a0a36-a0fe-4418-9fcd-fd1a73ea71d4,CUST_0039,142.09,2026-04-24 14:50:14.923754
952d0e61-b423-42e4-a56e-461c64ff4d64,CUST_0150,29.23,2025-07-12 07:51:14.923754
22376ff7-80cd-42e2-aa02-b0e40a16cdcc,CUST_0169,124.94,2025-11-18 13:38:14.923754
ae9497a1-756b-45cf-97f8-8891f0198b6c,CUST_0118,54.21,2025-11-20 13:14:14.923754
47b98713-3521-4603-9013-41648a86b014,CUST_0005,202.84,2026-05-13 21:15:14.923754
e8a5b8bc-75ff-4c52-b5e1-cdf9f598b922,CUST_0170,166.65,2026-03-30 01:00:14.923754
21c47736-9348-4cc7-8fac-3111372c51b9,CUST_0087,28.52,2026-03-17 04:44:14.923754
7bc0e468-e6f8-428c-bac0-db609e6feb67,CUST_0076,140.87,2026-04-08 04:41:14.923754
e1a55ccf-4ebb-456f-b86f-e8420017c7d1,CUST_0195,107.99,2025-08-11 12:13:14.923754
c74e1936-8c24-41d7-af03-191e10a64651,CUST_0158,3.41,2026-02-03 18:25:14.923754
744d9e3e-d5dd-4413-83ea-fb1c8d51cd5f,CUST_0057,121.62,2026-04-19 13:23:14.923754
3e654f4a-cf33-4f9d-9404-7e92cc3eadd0,CUST_0127,35.45,2026-02-02 12:58:14.923754
db879d70-35a7-446d-b79e-802c7b0c8427,CUST_0029,22.51,2025-12-06 14:59:14.923754
cc58cf27-c1d5-4615-a9aa-e686deeed55a,CUST_0165,23.49,2025-07-03 05:27:14.923754
2807ad49-faca-4fe7-ad96-db805928e578,CUST_0087,47.69,2025-05-16 04:17:14.923754
539e3816-8592-4308-874f-a7c29efe4468,CUST_0141,88.24,2025-08-28 02:17:14.923754
90f271b4-4c8f-4a6e-a168-10820c149b54,CUST_0160,13.94,2025-11-21 15:49:14.923754
f935fdf1-19cf-4831-923c-a9f6787d015d,CUST_0046,66.01,2025-06-26 23:33:14.923754
a5d4b64a-e4a9-478d-a411-b6564e2fb79b,CUST_0116,97.2,2026-02-08 13:38:14.923754
fe57ff88-b5a6-401e-8a17-33f35aa88c3b,CUST_0112,351.36,2025-12-15 05:44:14.923754
24b7af42-6748-45df-8757-0ae376659634,CUST_0151,18.6,2025-12-08 10:41:14.923754
1428418b-a9df-457c-b4f1-3572a5f4c234,CUST_0045,38.49,2025-07-06 21:49:14.923754
2acf3d4f-ce69-4026-9be4-d8957943a23b,CUST_0145,70.93,2025-12-17 11:04:14.923754
aa7ef1ec-b4be-451e-b1b2-49daef87c75f,CUST_0104,171.99,2025-10-18 13:08:14.923754
13d93a8b-176c-4eec-b336-e25bad97c542,CUST_0085,-40.28,2025-07-18 04:32:14.923754
2b8e8e6d-ffc5-4ad6-8550-5361d8177b88,CUST_0194,181.03,2026-04-22 23:07:14.923754
57ee2bdd-089a-4f12-a18b-43d106fc27ed,CUST_0134,7.87,2025-09-27 21:34:14.923754
434dae18-e69e-4597-9c0a-b50da99f4f92,CUST_0108,15.59,2025-08-03 05:58:14.923754
eef6a36a-8ef5-43e2-bba2-fa94d6f0f495,CUST_0018,77.37,2026-02-27 03:05:14.923754
f951ced4-efdb-4498-85d4-7865d6cf7c33,CUST_0094,13.32,2025-12-31 06:51:14.923754
d8a00711-c7b6-4c77-a78d-51a001c4a587,CUST_0150,16.87,2025-09-26 06:31:14.923754
58fe79f2-c7cc-446b-ba46-f390fef2e97f,CUST_0033,32.21,2026-02-05 23:56:14.923754
733b2395-d0ab-4ec5-b090-ad279b248e8d,CUST_0158,118.09,2025-07-01 20:46:14.923754
b58d3f72-132e-42b5-b887-e9414aea2515,CUST_0126,8.2,2025-07-15 22:00:14.923754
3a912344-fe96-4996-95d6-03e98f2eb8c3,CUST_0160,64.73,2025-08-21 10:03:14.923754
9b24f9b8-00aa-400b-9775-212e9bf93075,CUST_0170,153.39,2025-12-14 00:24:14.923754
5d9a76cf-fc97-449d-ae5c-f937f9416867,CUST_0122,44.93,2025-12-27 03:10:14.923754
7b5af3b5-44c0-4725-8dfe-ded87f074742,CUST_0138,37.76,2025-09-21 22:28:14.923754
8434da7b-b5bb-4033-8636-00cc6826773a,CUST_0115,81.6,2025-12-18 20:37:14.923754
ead51f64-2417-4d1c-8ee0-d05314ab94ab,CUST_0164,45.06,2026-05-08 06:38:14.923754
b8f2831c-f0a4-4531-a1ad-504a76df6f71,CUST_0162,219.31,2025-05-29 08:23:14.923754
221c5437-fb50-4d9a-8cab-a4b366b1174c,CUST_0028,17.97,2025-11-09 05:12:14.923754
52f1c5fa-38ff-408b-8162-b0d83e5dc81c,CUST_0011,51.85,2025-07-05 01:53:14.923754
fb417b74-f9b7-4261-9fb8-7e2276ec07cb,CUST_0167,67.07,2025-12-31 10:38:14.923754
cc096c8f-043a-46cb-9efe-b8c002849877,CUST_0047,37.4,2025-11-01 01:36:14.923754
73a65924-30be-4130-be7d-9906397b0080,CUST_0127,3.09,2025-10-21 05:22:14.923754
8a96ecae-1802-4a84-b7a8-94d57a9c0989,CUST_0147,46.48,2026-01-12 19:51:14.923754
9739568f-b36b-403d-8e2c-35a09e0468b0,CUST_0118,134.31,2025-07-19 08:08:14.923754
5538fb2b-7dd6-4baa-b021-5fc6592147df,CUST_0143,-118.88,2025-07-15 18:29:14.923754
b299b271-a222-438c-a08d-051a558493b2,,77.85,2026-02-22 10:07:14.923754
6ce49f35-f50a-434f-b147-37f34cfd1b59,CUST_0156,-18.21,2026-04-19 09:21:14.923754
5914b610-f5d3-410b-b781-f14407385c90,CUST_0152,81.07,2026-04-27 04:56:14.923754
666fab34-9b3d-4e6d-b458-31b1cab05b43,CUST_0072,30.77,2026-02-21 17:36:14.923754
10167341-51c7-4733-ad2a-54eff8f9a119,CUST_0107,77.75,2026-01-02 01:02:14.923754
e9746e66-014c-4cc4-9394-4482b7482ba2,CUST_0137,61.65,2025-11-28 05:50:14.923754
e43c1348-323e-4671-8383-b3159c0cc460,CUST_0175,20.57,2025-09-28 02:56:14.923754
a85c8781-76d7-4421-a45d-5a50ef796775,CUST_0033,22.37,2026-03-17 08:07:14.923754
ddf037fb-68bd-4219-8eb6-501b81aa5edc,CUST_0190,77.87,2025-10-13 13:22:14.923754
c2e79de1-e1c9-4fee-a19e-6761c0ea8139,CUST_0019,43.77,2025-10-21 22:04:14.923754
c211b1da-6c5f-4777-9d38-a614fe11d1f8,CUST_0195,23.56,2025-11-10 15:12:14.923754
e4ba2547-0721-4963-8655-df2fc059c7b3,CUST_0074,21.7,2025-07-05 10:02:14.923754
39b2ed1b-1cad-47ce-85ab-10f704ee679d,CUST_0168,40.29,2025-09-04 03:12:14.923754
13782d08-8b17-4de6-be4b-f65617c4a303,,261.94,2025-08-03 14:25:14.923754
5ec64a75-bfab-4f6a-9c71-313111e25c68,CUST_0193,32.26,2025-09-21 19:46:14.923754
0a6e6512-1efc-4373-8342-f071c1f3593f,CUST_0157,53.84,2025-12-23 22:24:14.923754
ff42288f-4700-4cab-b072-45e4244ccb78,CUST_0178,60.44,2025-09-17 00:16:14.923754
94410e36-2eba-4ac2-8ecc-1fc83f47d2ea,CUST_0098,17.62,2025-11-02 03:55:14.923754
b8215c05-8705-4026-b806-a2e11570c192,CUST_0141,9.37,2026-01-16 02:18:14.923754
b71f7c07-0b34-4dbd-a27b-3f4ee7e24b0d,CUST_0129,-19.56,2025-12-03 22:22:14.923754
fa7b1960-a116-4892-929f-b7b39ab92b53,,69.9,2026-01-24 03:47:14.923754
65b4a8a6-ba03-4ba6-a9ac-7d8684481043,CUST_0093,59.58,2026-04-04 17:57:14.923754
ee82cc05-280e-4039-a4db-032ce26cdf89,CUST_0176,110.21,2025-11-28 19:34:14.923754
9851a868-12b9-48dd-93bb-87e0f7241662,CUST_0048,60.14,2026-01-09 13:56:14.923754
1145cd6f-b2fe-4191-a5d7-3ef24fa227b9,CUST_0177,48.93,2025-12-01 03:39:14.923754
e4a90379-8ca9-42fa-b5b4-6ad5f2b4bac6,CUST_0064,29.84,2026-04-28 00:43:14.923754
e7e9ffef-c1fc-42d8-baf5-6c7eb42e82a0,CUST_0061,132.24,2026-01-21 01:42:14.923754
1bb6fd90-fd4c-412f-b6be-cb1ebdbc8579,CUST_0157,21.78,2026-04-25 00:42:14.923754
219013ab-3d36-49fe-bc01-0e54a048f6fc,CUST_0039,17.99,2025-10-09 05:15:14.923754
12cc46c2-80a6-4d35-81a4-95f27fef8a2d,CUST_0128,96.26,2025-09-19 04:41:14.923754
0a0b8e87-f947-48a8-b361-280f547f8660,CUST_0088,14.39,2026-05-08 22:34:14.923754
e8c0cdd9-c843-4f42-9a93-59872608f5f5,CUST_0026,610.81,2025-10-12 07:58:14.923754
001d276b-0773-4515-9eb8-d6db33460e59,CUST_0017,59.15,2026-02-01 13:49:14.923754
27e138f5-78df-427a-9218-3ed1f575433e,CUST_0071,77.32,2025-09-03 18:23:14.923754
08761295-b19d-4a42-823b-572e51b603f4,CUST_0013,24.33,2025-05-15 23:11:14.923754
2ff226f8-3284-4067-b17b-80ce02ab6e06,CUST_0069,39.83,2026-01-23 09:28:14.923754
7c1930bf-efa1-46b9-88d6-d7bf6ed14921,CUST_0026,35.63,2025-06-20 20:32:14.923754
ad56c6a6-01ef-4f38-b605-971f536cb870,CUST_0049,31.76,2026-01-02 00:42:14.923754
4bff6d63-9054-4a08-ae44-4038906fcb6b,CUST_0195,102.82,2026-03-14 13:26:14.923754
ad65a9dc-09b4-4dff-836f-7d3b8203e7c9,,34.83,2025-10-13 20:19:14.923754
27d294b6-d77d-4592-9a34-9c87e0392995,CUST_0058,151.03,2025-10-22 22:15:14.923754
b2ad917c-475d-4390-9b8b-1a781b6a29f3,CUST_0049,-783.04,2025-07-28 14:31:14.923754
6a46a4c1-ce64-4792-abf7-64c0e21e75f2,CUST_0103,40.63,2025-08-26 17:58:14.923754
080f741a-7051-4c35-8dd4-0221ba107b89,CUST_0053,63.58,2025-09-03 00:48:14.923754
ad56db15-fd7b-4995-9f27-a76ad008571f,,79.8,2026-04-28 16:09:14.923754
3d2ddc00-7b78-4d81-a02b-d398c35bbd45,CUST_0062,334.12,2026-04-17 00:17:14.923754
a3723e3b-b5e1-40d3-af97-73192fff08de,CUST_0017,50.27,2025-10-24 14:04:14.923754
f09ecc2b-2254-402f-9dc5-e26fa9d35b3f,CUST_0171,23.83,2025-10-22 01:56:14.923754
5be8cbb1-f74e-4c5d-89cd-2e9c073c5193,CUST_0025,-15.39,2026-02-15 13:43:14.923754
3fa36023-6fc9-4a2e-a6d9-e445c70d4b09,CUST_0131,51.52,2025-09-26 00:40:14.923754
411f3d83-3ad5-4074-b11d-a65ee882c459,CUST_0029,34.87,2025-09-18 23:11:14.923754
59515860-be0b-4ca9-9b12-c5de61424357,CUST_0117,407.49,2025-06-05 11:53:14.923754
